Structure name,Area,Storage capacity,Number
Percolation tank,1.125,2.475,1
Percolation tank,1.35,2.7,1
Percolation tank,5.6,8.4,1
Earthen nala bund,2.4,4.8,1
Earthen nala bund,4.4,11,1
Earthen nala bund,4.4,6.6,1
Earthen nala bund,14.1,28.2,1
Percolation tank,4.725,9.45,1
Percolation tank,2.1,3.15,1
Percolation tank,12.8,19.2,1
Percolation tank,28.6,57.2,1
Percolation tank,34.54,51.81,1
Percolation tank,12.37333333,18.56,1
CCT,0.3,168,560
Earthen nala bund,5.67,5.67,1
Earthen nala bund,6.3,12.6,1
Percolation tank,13.3,26.6,1
Cement nala bund,1.68,3.36,26
Earthen nala bund,8.7,17.4,1
Earthen nala bund,3.2,3.2,1
Earthen nala bund,0.6,0.6,1
Earthen nala bund,1.8,3.6,1
Earthen nala bund,0.3,0.6,1
Earthen nala bund,0.3,0.6,1
Earthen nala bund,0.7,1.4,1
