crop,initial_stage,dev_stage,mid_stage,late_stage
[Barley],15,30,65,40
[Oats],15,30,65,40
[Wheat],15,30,65,40
[Bean-green],20,30,30,10
[Bean-dry],20,30,40,20
"[Cabbage,Cauliflower]",20,25,60,15
[Carrot],25,35,70,20
"[Cotton,Tur,Turmeric]",30,50,55,45
[Flax],30,50,65,50
[Cucumber],25,35,50,20
"[Eggplant,Brinjal]",30,40,40,20
[Grain-small],25,35,65,40
"[Lentil,Moong,Udid]",20,30,60,40
[Lettuce],35,50,45,10
[Maize-sweet],20,30,50,10
"[Maize-grain,Fodder]",20,35,40,30
[Melon],30,45,65,20
"[Millet,Bajra]",15,25,40,25
[Onion-green],25,40,20,10
[Onion-dry],15,25,70,40
[Groundnut],30,40,45,25
[Pea],20,30,35,15
"[Pepper,Mirchi]",25,35,40,20
[Potato],25,30,30,20
[Radish],10,10,15,5
[Sorghum],20,30,40,30
[Soybean],20,30,60,25
"[Spinach,Palak]",20,20,15,5
[Squash],25,35,35,25
[Sugarbeet],45,65,80,40
[Sunflower],25,35,45,25
[Tomato],30,40,40,25
